Coach,Tm,G,W,L,T,w/ Team_G,w/ Team_W,w/ Team_L,w/ Team_T,Career_G,Career_W,Career_L,Career_T,Playoffs_G plyf,Playoffs_W plyf,Playoffs_L plyf,w/ Team_G plyf,w/ Team_W plyf,w/ Team_L plyf,Career_G plyf,Career_W plyf,Career_L plyf,Remark,season
Joe Bugel,OAK,16,4,12,0,16,4,12,0,80,24,56,0,0,0,0,0,0,0,0,0,0,,1997
Ray Rhodes,PHI,16,6,9,1,64,29,34,1,80,37,42,1,0,0,0,3,1,2,3,1,2,,1997
Bill Cowher,PIT,16,11,5,0,240,149,90,1,240,149,90,1,2,1,1,21,12,9,21,12,9,,1997
Kevin Gilbride,SDG,16,4,12,0,22,6,16,0,22,6,16,0,0,0,0,0,0,0,0,0,0,,1997
Dennis Erickson,SEA,16,8,8,0,64,31,33,0,96,40,56,0,0,0,0,0,0,0,0,0,0,,1997
Steve Mariucci,SFO,16,13,3,0,96,57,39,0,139,72,67,0,2,1,1,7,3,4,7,3,4,,1997
Dick Vermeil,STL,16,5,11,0,48,22,26,0,229,120,109,0,0,0,0,3,3,0,11,6,5,,1997
Tony Dungy,TAM,16,10,6,0,96,54,42,0,208,139,69,0,2,1,1,6,2,4,19,9,10,,1997
Jeff Fisher,TEN,16,8,8,0,262,142,120,0,339,173,165,1,0,0,0,11,5,6,11,5,6,,1997
Norv Turner,WAS,16,8,7,1,109,49,59,1,237,114,122,1,0,0,0,2,1,1,8,4,4,,1997
Vince Tobin,ARI,16,7,9,0,71,28,43,0,71,28,43,0,0,0,0,2,1,1,2,1,1,,1996
June Jones,ATL,16,3,13,0,48,19,29,0,58,22,36,0,0,0,0,1,0,1,1,0,1,,1996
Ted Marchibroda,BAL,16,4,12,0,48,16,31,1,186,87,98,1,0,0,0,0,0,0,6,2,4,,1996
Marv Levy,BUF,16,10,6,0,182,112,70,0,255,143,112,0,1,0,1,19,11,8,19,11,8,,1996
Dom Capers,CAR,16,12,4,0,64,30,34,0,128,48,80,0,2,1,1,2,1,1,2,1,1,,1996
Dave Wannstedt,CHI,16,7,9,0,96,40,56,0,169,82,87,0,0,0,0,2,1,1,5,2,3,,1996
Bruce Coslet,CIN,9,7,2,0,60,21,39,0,124,47,77,0,0,0,0,0,0,0,1,0,1,,1996
David Shula,CIN,7,1,6,0,71,19,52,0,71,19,52,0,0,0,0,0,0,0,0,0,0,,1996
Barry Switzer,DAL,16,10,6,0,64,40,24,0,64,40,24,0,2,1,1,7,5,2,7,5,2,,1996
Mike Shanahan,DEN,16,13,3,0,224,138,86,0,308,170,138,0,1,0,1,13,8,5,14,8,6,,1996
Wayne Fontes,DET,16,5,11,0,133,66,67,0,133,66,67,0,0,0,0,5,1,4,5,1,4,,1996
Mike Holmgren,GNB,16,13,3,0,112,75,37,0,272,161,111,0,3,3,0,14,9,5,24,13,11,Super Bowl Champions,1996
Jeff Fisher,HOU,16,8,8,0,262,142,120,0,339,173,165,1,0,0,0,11,5,6,11,5,6,,1996
Lindy Infante,IND,16,9,7,0,32,12,20,0,96,36,60,0,1,0,1,1,0,1,1,0,1,,1996
Tom Coughlin,JAX,16,9,7,0,128,68,60,0,320,170,150,0,3,2,1,8,4,4,19,12,7,,1996
Marty Schottenheimer,KAN,16,9,7,0,160,101,58,1,327,200,126,1,0,0,0,10,3,7,18,5,13,,1996
Jimmy Johnson,MIA,16,8,8,0,64,36,28,0,144,80,64,0,0,0,0,5,2,3,13,9,4,,1996
Dennis Green,MIN,16,9,7,0,159,97,62,0,207,113,94,0,1,0,1,12,4,8,12,4,8,,1996
Jim Mora,NOR,8,2,6,0,167,93,74,0,231,125,106,0,0,0,0,4,0,4,6,0,6,,1996
Rick Venturi,NOR,8,1,7,0,8,1,7,0,19,2,17,0,0,0,0,0,0,0,0,0,0,,1996
Bill Parcells,NWE,16,11,5,0,64,32,32,0,303,172,130,1,3,2,1,4,2,2,19,11,8,AFC Champions,1996
Dan Reeves,NYG,16,6,10,0,64,31,33,0,357,190,165,2,0,0,0,2,1,1,20,11,9,,1996
Rich Kotite,NYJ,16,1,15,0,32,4,28,0,96,40,56,0,0,0,0,0,0,0,2,1,1,,1996
Mike White,OAK,16,7,9,0,32,15,17,0,32,15,17,0,0,0,0,0,0,0,0,0,0,,1996
Ray Rhodes,PHI,16,10,6,0,64,29,34,1,80,37,42,1,1,0,1,3,1,2,3,1,2,,1996
Bill Cowher,PIT,16,10,6,0,240,149,90,1,240,149,90,1,2,1,1,21,12,9,21,12,9,,1996
Bobby Ross,SDG,16,8,8,0,80,47,33,0,137,74,63,0,0,0,0,6,3,3,8,3,5,,1996
Dennis Erickson,SEA,16,7,9,0,64,31,33,0,96,40,56,0,0,0,0,0,0,0,0,0,0,,1996
George Seifert,SFO,16,12,4,0,128,98,30,0,176,114,62,0,2,1,1,15,10,5,15,10,5,,1996
Rich Brooks,STL,16,6,10,0,32,13,19,0,32,13,19,0,0,0,0,0,0,0,0,0,0,,1996
Tony Dungy,TAM,16,6,10,0,96,54,42,0,208,139,69,0,0,0,0,6,2,4,19,9,10,,1996
